MES,PERIODO,fp_cavancha,fp_rapel,fp_laja,fp_chapiquina,fp_cosapilla,fp_alfalfal,fp_hornitos,fp_juncal,fp_blanco,fp_losquilos,fp_chacabuquito,fp_lahiguera,fp_laconfluencia,fp_chacayes,fp_elpaso,fp_sauzal,fp_digua,fp_solar_sic_norte,fp_solar_sic_centro,fp_solar_sic_sur,fp_solar_sing,fp_solar_csp,fp_engie_eolico_calama_old,fp_engie_eolico_calama,fp_engie_solar_capricornio,fp_engie_solar_tamaya,fp_engie_eolico_trigales,fp_engie_eolico_lomastaltal,fp_engie_eolico_viii,fp_engie_eolico_x,fp_engie_eolico_rm,fp_solar_los-loros,fp_eolica_aurora,fp_eolica_cabo_leones_i,fp_eolica_canela,fp_eolica_canela_2,fp_eolica_cuel,fp_eolica_el_arrayan,fp_eolica_esperanza,fp_eolica_la_flor,fp_eolica_las_penas,fp_eolica_lebu,fp_eolica_lebu_iii,fp_eolica_los_buenos__aires,fp_eolica_los_cururos,fp_eolica_monte_redondo,fp_eolica_p_colorada,fp_eolica_punta_palmeras,fp_eolica_punta_sierra,fp_eolica_huajache,fp_eolica_raki,fp_eolica_renaico,fp_eolica_san_gabriel,fp_eolica_san_juan,fp_eolica_san_pedro,fp_eolica_san_pedro_2,fp_eolica_sarco,fp_eolica_sierra_gorda,fp_eolica_talinay_oriente,fp_eolica_talinay_poniente,fp_eolica_taltal,fp_eolica_totoral,fp_eolica_ucuquer,fp_eolica_ucuquer_ii,fp_eolica_valle_vientos,fp_engie_eolico_calama_2_old,fp_engie_eolico_vientosloa,fp_engie_eolico_taltal_2,fp_engie_eolico_iv,fp_engie_eolico_taltal_3,fp_engie_solar_pcamarones,fp_engie_solar_pcamarones2,fp_engie_eolico_lomaverde,fp_engie_eolico_viii_2,fp_engie_eolico_trigales_2,fp_engie_solar_centro,fp_engie_solar_tamaya2,fp_engie_solar_calama,fp_engie_eolico_calama_3,fp_solar_csp_likana,fp_eolica_cerro_tigre,fp_eolica_tchamma,fp_eolica_alena,fp_solar_rio_escondido,fp_eolica_ckani,fp_eolica_llanos_viento,fp_eolica_puelche_sur,fp_solar_valle_escondido,fp_solar_pampa_tigre,fp_eolica_caman,fp_eolica_entrerios,fp_solar_tata_inti,fp_solar_azimuth,fp_solar_algarrobal,fp_solar_limonares,fp_solar_conquistador,fp_eolica_molina,fp_eolica_calate,fp_eolica_aguaverde,fp_eolica_horizonte,fp_aes_bess_andes2,fp_aes_bess_andes3,fp_aes_bess_andes4,fp_solar_atlas,fp_solar_csp2,fp_engie_solar_lasdamas,fp_engie_eolico_calbuco,fp_engie_andacollo,fp_engie_losloros,fp_engie_pcamarones,fp_engie_elaguila,fp_engie_eolico_yolanda,fp_engie_eolico_fidelia,fp_engie_solar_coya,fp_engie_solar_libelula,fp_engie_eolico_chiloe,fp_engie_eolico_elrosal,fp_engie_eolico_pemuco,fp_engie_eolico_ramadilla,fp_engie_solar_fidelia,fp_engie_solar_yolanda,fp_engie_eolico_newenkuruf,fp_engie_eolico_litueche,fp_carnot,fp_solar_csp_09h,fp_solar_csp_13h,fp_pumping,fp_ess_h2_12H,fp_geo,fp_bess2H_norte,fp_bess2H_centrosur,fp_bess5H,fp_bess10H,fp_bess_alfalfal,fp_engie_bess5H,fp_engie_bess6H,fp_engie_bess7H
1,1,1,1,0,0.417624697,0.856107756,0.848771005,0.78922043,0.544052419,0.778551217,0.616864743,0.584410694,0.610680541,0.504767465,0.809478,0.301501,0.86519,0.763,0,0,0,0,1,0.057732838,0.056564394,0,0,0.436212921,0.248417527,0.592620057,0.299099407,0.390099056,0,0.340799062,0.66882281,0.306015027,0.238335374,0.554306263,0.336941577,0.372821543,0.297212543,0.613829137,0.276913255,0.183975804,0.547846561,0.317256689,0.128671615,0,0.497718845,0.401744076,0.293596362,0.293596362,0.439206787,0.031646787,0.42316612,0.246705286,0.258906494,0.424355579,0.000188683,0.356554028,0.313341706,0.124832861,0.318826468,0.520108338,0.634534067,0.017196703,0.059398167,0.006876951,0.235441306,0.439010434,0.235441306,0,0,0.334287572,0.572119122,0.569067914,0,0,0,0.097934475,0.4,0.02664984,0.009370126,0.615075556,0,0.021369122,0.055918667,0.67881533,0,0,0.466756132,0.692756873,0,0,0,0,0,0.44998404,0.014977774,0.306991,0.216051555,0,0,0,0,1,0,0.34379312,0,0,0,0,0.304001157,0.421325378,0,0,0.465655471,0.655188719,0.559716418,0.322778934,0,0,0.761200759,0.51246671,0.975786925,1,1,0.571428571,1,1,1,0,1,0.734292917,0.427419355,0,0,0.142857143
1,2,0.5667,1,0,0.430772141,0.854828585,0.836553943,0.731075269,0.543951613,0.719185059,0.610720349,0.573616167,0.590613944,0.477241243,0.804604,0.210902,0.864415,0.763,0,0,0,0,1,0.020122087,0.019306223,0,0,0.426569376,0.256490865,0.680946914,0.339705397,0.355131765,0,0.28272945,0.56179392,0.286582098,0.22401965,0.590386005,0.307003791,0.426044236,0.335858655,0.631175303,0.18667563,0.239459892,0.622016783,0.362475659,0.107728365,0,0.520311039,0.421357397,0.141024957,0.141024957,0.65025904,0.128117161,0.523802871,0.275668808,0.248550595,0.56495315,0.033866634,0.197073818,0.213952853,0.132284603,0.299629246,0.499557483,0.570203262,0.014097747,0.020702517,0.000938566,0.257731695,0.400003671,0.257731695,0,0,0.379670738,0.657390424,0.511381195,0,0,0,0.042375494,0.367741935,0.011019653,0.0649711,0.626315213,0,0.004264497,0.024367165,0.63778859,0,0,0.415281685,0.682652527,0,0,0,0,0,0.303347899,0.012278683,0.337691,0.236506221,0,0,0,0,1,0,0.315318098,0,0,0,0,0.361189005,0.430196977,0,0,0.452933447,0.640469469,0.520848385,0.280109507,0,0,0.738233209,0.468850081,0.975786925,0.887,0.96868,0.428571429,1,1,1,0,1,0.734292917,0.427419355,0,0,0.142857143
1,3,0.5667,1,0,0.469441095,0.859482117,0.823109449,0.706612903,0.545967742,0.647934352,0.609426793,0.567214761,0.578251821,0.458678013,0.786962,0.192218,0.843834,0.763,0,0,0,0,1,0.007904746,0.007722489,0,0,0.419527504,0.251387031,0.714201083,0.371255113,0.373685075,0,0.257300107,0.409331395,0.246229533,0.175536661,0.485986698,0.311566314,0.41626527,0.352094104,0.555567813,0.279170617,0.221182753,0.572799031,0.264763437,0.090829148,0,0.338820826,0.391558768,0.18143812,0.18143812,0.516700457,0.219301546,0.434562621,0.272229318,0.255861173,0.548583852,0.028717902,0.104651035,0.169600234,0.04245294,0.2985888,0.450705875,0.615415501,0.005886793,0.008132762,0.002425004,0.269602711,0.405948308,0.269602711,0,0,0.414932185,0.689494207,0.519880918,0,0,0,0.021658586,0.367741935,0.009341344,0.151125321,0.606543269,0,0.016359616,0.035730991,0.616303906,0,0,0.414802056,0.629933327,0,0,0,0,0,0.453652253,0.005127207,0.35304,0.2473996,0,0,0,0,1,0,0.311827441,0,0,0,0,0.389823489,0.433035426,0,0,0.429741666,0.631879302,0.484145148,0.234709326,0,0,0.722405648,0.428139126,0.975786925,0.372,0.72921,0.371428571,0.619,1,0,0,0,0.870967742,0.266129032,0,0,0.142857143
1,4,0.5667,1,0,0.488775572,0.856818998,0.804465545,0.680430108,0.548185484,0.59360498,0.606192902,0.565708548,0.560332986,0.423708688,0.772958,0.181891,0.846774,0.763,0,0,0,0,1,0.005728896,0.004826556,0,0,0.39177738,0.243035302,0.6642014,0.377606541,0.390338949,0,0.226392499,0.270518474,0.203414712,0.140993969,0.46520475,0.276141873,0.390280755,0.310448837,0.606397266,0.185290466,0.22133444,0.641590203,0.247875047,0.075303495,0,0.355841532,0.352939664,0.265614106,0.265614106,0.389806553,0.209259909,0.285102761,0.276155201,0.284967934,0.313814725,0.067056385,0.050839552,0.118273552,0.001669983,0.190060142,0.662837542,0.584790175,0.046097408,0.005894149,0.008228494,0.318590622,0.35979283,0.318590622,0,0,0.42203084,0.641224199,0.474888634,0,0,0,0.010358454,0.367741935,0.012096969,0.254204697,0.62755637,0,0.04578512,0.013677896,0.61404777,0,0,0.440541043,0.625039729,0,0,0,0,0,0.301097007,0.040149355,0.35304,0.292353116,0,0,0,0,1,0,0.301934008,0,0,0,0,0.37264279,0.458235394,0,0,0.42766216,0.615863302,0.465383863,0.192947795,0,0,0.690817815,0.37699962,0.475786925,0,0.75249,0.285714286,0.388,1,0,0,0,0.870967742,0.266129032,0,0,0.142857143
1,5,0.5667,1,0,0.496509362,0.857839477,0.776200528,0.669193548,0.559677419,0.550481041,0.595359366,0.563951299,0.564953174,0.430852959,0.756384,0.15964,0.850974,0.763,0,0,0,0,1,0.011901384,0.011583734,0,0,0.401009907,0.234312386,0.636453493,0.358706361,0.358764827,0,0.245196963,0.134863241,0.157339651,0.106590522,0.514530944,0.240780118,0.431694763,0.41355378,0.57466903,0.247204855,0.246608358,0.647355601,0.196145699,0.069199784,0.000837202,0.258581488,0.308086657,0.253326966,0.253326261,0.475998238,0.26438753,0.16049847,0.31072382,0.3105414,0.235101214,0.162700352,0.017257364,0.080977742,0.083105995,0.175322424,0.584872107,0.567543494,0.065409601,0.012244685,0.006432212,0.324822635,0.313719029,0.324822635,0,0,0.400907109,0.614436196,0.515734661,0,0,0,0.016950198,0.367741935,0.013188956,0.272957498,0.648002948,0,0.11699206,0.003686726,0.615365377,0,0,0.433769528,0.648564986,0,0,0,0,0,0.401707889,0.056969653,0.35611,0.298071892,0,0,0,0,0.83871,0,0.293508454,0,0,0,0,0.392906443,0.455339424,0,0,0.455265592,0.613124379,0.455933468,0.153110755,0,0,0.67774947,0.377255396,0,0,0.85089,0.214285714,0.261,1,0,0,0,0.741935484,0.165322581,0,0,0.142857143
1,6,0.5667,1,0,0.499602879,0.85867537,0.749165393,0.655698925,0.546774194,0.514544426,0.590912766,0.555165056,0.556087409,0.432159113,0.736663,0.154157,0.848454,0.763,0.074106681,0,0,0.074106681,0.97,0.023273396,0.022202156,0,0,0.41742571,0.226146251,0.656145745,0.364560735,0.349007542,0,0.21141008,0.068112758,0.124029893,0.103963435,0.50643715,0.231067579,0.418213112,0.351564834,0.513854995,0.256765488,0.231054004,0.615837003,0.128484353,0.064446523,0,0.12344439,0.271149243,0.234721991,0.234721048,0.51799085,0.285246583,0.087911228,0.343717452,0.314779547,0.116789715,0.200286895,0.007856711,0.041294931,0.145988945,0.156284938,0.573645769,0.487031297,0.074791373,0.023944727,0.010044727,0.297273116,0.301064295,0.297273116,0,0,0.407450234,0.63344722,0.544553737,0,0.013855838,0.000186122,0.020716908,0.367741935,0.012497013,0.321782985,0.598786382,0,0.261132711,0.006115529,0.605404513,0,0,0.429332435,0.642840427,0,0,0.071927073,0,0,0.417243918,0.065140873,0.36532,0.272791211,0.00018612,0.000186122,0.00018612,0,0.814124,0,0.277790934,0,0,0,0,0.379006888,0.409406834,0,0,0.474563594,0.589092081,0.478273957,0.125271971,0,0,0.635593178,0.336663436,0,1,0.86059,0.142857143,0.272,1,0,0,0,0.741935484,0.165322581,0,0,0.142857143
1,7,0.5667,1,0,0.496509362,0.856785965,0.726289564,0.649139785,0.532056452,0.485059423,0.588325653,0.545751224,0.566722164,0.432614289,0.706894,0.143405,0.842154,0.763,0.466192367,0.002045803,0.002045803,0.466192367,0.94,0.030410158,0.028959334,0.00930832,0.012151077,0.41909373,0.218351304,0.647143101,0.369411283,0.344012524,0.009020714,0.205218366,0.03335729,0.146663398,0.093434107,0.440896558,0.240610911,0.477943823,0.579700145,0.442346437,0.252558827,0.227135749,0.661378775,0.099622278,0.07388467,0,0.087202535,0.213359808,0.278676647,0.278676647,0.496980213,0.19075231,0.067464564,0.341158101,0.312430041,0.048542657,0.321413796,0.013216477,0.039137826,0.435044166,0.079201104,0.58319369,0.469699476,0.125981444,0.031287352,0.020675987,0.276406052,0.313498564,0.276406052,0.011604023,0,0.412871434,0.624756011,0.507466668,0.000319758,0.489835773,0.227497144,0.023541941,0.367741935,0.00455208,0.248647869,0.576533152,0.126577798,0.325058281,0.00815938,0.571280103,0.132270608,0.109536928,0.428817848,0.580542174,0,0.000355287,0.452480827,0.000331601,0.000307915,0.410408094,0.109725774,0.36225,0.253642653,0.22749714,0.227497144,0.22749714,0,0.822309,0.006990844,0.25727425,0,6.90E-06,0.013154123,0.007259844,0.402611326,0.361574891,0.078818962,0.092790517,0.461352274,0.574603868,0.439254375,0.100968636,0.041794759,0.041071455,0.601414872,0.285315012,0,0.472,0.79379,0.071428571,0.235,1,0,0,0,0,0,0,0,0.142857143
1,8,0.5667,1,0,0.496509362,0.835943754,0.703256082,0.646075269,0.519657258,0.459988681,0.587355485,0.543617422,0.58662435,0.45825846,0.675017,0.1425,0.830813,0.763,0.76991371,0.419074115,0.419074115,0.76991371,0.93,0.043256734,0.041508379,0.326820108,0.429568534,0.397019826,0.212783485,0.628490779,0.356128758,0.311862669,0.316722114,0.196172858,0.052389941,0.066309539,0.058518475,0.549355985,0.169085061,0.385038057,0.551639594,0.480834396,0.247673784,0.226376143,0.612031261,0.087110025,0.072995546,0,0.091198403,0.191200341,0.249770062,0.249770062,0.52574424,0.127837032,0.054579087,0.341864528,0.301522913,0.002753435,0.468839771,0.002771714,0.066294789,0.585495942,0.062827109,0.438207793,0.456099069,0.044442795,0.044504493,0.015462617,0.252661653,0.220305569,0.252661653,0.407423477,0.135331689,0.398026259,0.606748942,0.553767776,0.037678422,0.890667511,0.622605197,0.033900395,0.344275227,0.000737531,0.06690648,0.505420925,0.716473798,0.355817554,0.001813196,0.509320218,0.752828031,0.65540158,0.473158086,0.521252408,0.04894505,0.041864914,0.747269189,0.03907392,0.036282925,0.402469899,0.038708241,0.36839,0.231853722,0.6226052,0.622605197,0.6226052,0,0.822309,0.360687049,0.239237558,0.020448365,0.017158295,0.46502853,0.130677192,0.381886247,0.294640301,0.495836511,0.594312735,0.483352975,0.567838162,0.412587089,0.088207516,0.579142374,0.569119687,0.606562349,0.285346399,0,0.128,0.75111,0,0,1,0,0,0,0,0,0,0,0
1,9,0.6333,1,0,0.493415846,0.856123491,0.684255244,0.641451613,0.510282258,0.439388795,0.591802086,0.540102925,0.58962539,0.471808826,0.658357,0.144097,0.819052,0.763,0.87833825,0.59246676,0.59246676,0.87833825,0.9,0.014523163,0.013514356,0.700146512,0.781083697,0.356141242,0.139566665,0.666733052,0.354355891,0.226001216,0.678513585,0.148320848,0.024748915,0.031357397,0.020832303,0.518249282,0.159487907,0.432591039,0.52076101,0.579089104,0.272800487,0.24672273,0.636633541,0.030084929,0.056069478,0,0.05445193,0.126787357,0.267543828,0.267543828,0.365984547,0.064445677,0.036668471,0.333039976,0.260433672,0.05403981,0.419941566,0.002253746,0.108447114,0.6833323,0.043204742,0.482940053,0.446913424,0.043964183,0.01494209,0.009786319,0.211289939,0.207801174,0.211289939,0.872823058,0.628325697,0.39604482,0.643668273,0.581047129,0.263152826,0.949725559,0.764317091,0.053675626,0.34297719,0.000204191,0.019445224,0.466825988,0.894247894,0.422939121,3.03E-05,0.486090647,0.940031697,0.869833623,0.500713059,0.4492023,0.503557773,0.292392029,0.852504772,0.272899227,0.253406425,0.443300792,0.038291385,0.35304,0.193889172,0.76431709,0.764317091,0.76431709,0.443828967,0.822309,0.787939096,0.230624738,0.157528142,0.143176592,0.845560545,0.377511887,0.352645291,0.291914418,0.818870824,0.882238632,0.468534589,0.522369863,0.382533886,0.082831386,0.884434089,0.869127998,0.589680368,0.215232983,0,0.993,0.97949,0,0,1,0,0,0,0,0,0,0,0
1,10,0.6333,1,0,0.489548951,0.855002857,0.674536755,0.633709677,0.49546371,0.424335031,0.582989732,0.547257437,0.597737773,0.477484663,0.648771,0.141222,0.814012,0.763,0.911992962,0.706207443,0.706207443,0.911992962,0.87,0.000325601,0,0.748643453,0.832875503,0.333509564,0.142072183,0.608126406,0.341481781,0.145854612,0.725512082,0.122967946,0.039281021,0.019127477,0.022941901,0.552093729,0.106752293,0.473584953,0.551705965,0.556421887,0.250749747,0.248394548,0.676650641,0.023752585,0.068255547,0,0.142543934,0.115113861,0.236643511,0.236643511,0.57403235,0.190348128,0.026736662,0.293839047,0.232817944,0.048089867,0.421533631,0.000882388,0.088713345,0.435127997,0.054984604,0.463329772,0.536090041,0.046901352,0.000334993,0.002885939,0.194675472,0.139090495,0.194675472,0.93328076,0.850656328,0.381656108,0.587089048,0.556119317,0.670640249,0.970599694,0.839680909,0.023541941,0.482138278,0.0003863,0.065616486,0.475312555,0.951525302,0.299380401,0.001195016,0.499200867,0.995758128,0.967390674,0.504913848,0.468768845,0.728151467,0.745155832,0.88516964,0.695478777,0.645801721,0.407468339,0.040849565,0.306991,0.178642989,0.83968091,0.839680909,0.83968091,0.797080593,0.66129,0.952375917,0.226723258,0.407452599,0.381509999,0.901627657,0.617086738,0.301919628,0.231975536,0.934189842,0.919322451,0.463874272,0.46643344,0.35280168,0.063795148,0.913120492,0.897317951,0.565955766,0.098249447,0,0.993,0.9939,0,0,1,0,0,0,0,0,0,0,0
1,11,0.6333,1,0,0.481041781,0.855765156,0.658402037,0.632473118,0.48296371,0.410186757,0.581453634,0.540856031,0.597950052,0.490837126,0.63647,0.143192,0.819892,0.763,0.917463926,0.738926275,0.738926275,0.917463926,0.87,0.013172604,0.011583734,0.759609321,0.851181376,0.343516833,0.153486212,0.594215502,0.319116604,0.126300503,0.73613913,0.134841767,0.041609165,0.016175844,0.016775082,0.450414385,0.083857057,0.421233258,0.580554516,0.463759537,0.253344171,0.209775934,0.672197737,0.01542339,0.095816207,0,0.036503228,0.086062928,0.142707167,0.142707167,0.531958493,0.2460702,0.019666694,0.27867981,0.230323853,0.006879981,0.253780509,0.002085813,0.073129507,0.378458802,0.016100239,0.27206923,0.262433256,0.01864778,0.013552574,0.012267384,0.127542318,0.109259662,0.127542318,0.94695113,0.927988721,0.356659734,0.573659374,0.525370648,0.827016388,0.973151961,0.872707677,0.005650066,0.512127529,0.008013614,0.137125665,0.52033426,0.94991155,0.062215731,0.004082558,0.47453362,0.995764495,1.015407521,0.467775302,0.429498079,0.891030064,0.918907097,0.890479692,0.857646624,0.796386151,0.411684278,0.016241615,0.276292,0.11703858,0.2449299,0,0.24917827,0.833311529,0.564516,0.990470954,0.23771812,0.594138595,0.602988553,0.921444643,0.805842682,0.280839361,0.215918866,0.969984583,0.93794533,0.482726085,0.445519145,0.33118031,0.076826017,0.919864646,0.903945391,0.551188237,0.052333606,0,0.996,0.99557,0,0,1,0,0,0,0.029188129,0,0,0,0
1,12,0.6333,1,0,0.485682055,0.858049146,0.623868499,0.634139785,0.480544355,0.396264856,0.567467055,0.534705661,0.592973985,0.500338413,0.62108,0.153572,0.808132,0.763,0.920448087,0.742127968,0.742127968,0.920448087,0.87,0.142583516,0.131282316,0.765072502,0.853419624,0.383081373,0.154506979,0.543680089,0.260736866,0.14231497,0.741433511,0.13838353,0.027255642,0.016167345,0.093909093,0.394900789,0.128445633,0.37959012,0.587240061,0.421934673,0.324969244,0.23013829,0.481382836,0.048644768,0.111503485,0.023903867,0.071051965,0.169689696,0.237718625,0.237718625,0.45655958,0.35851341,0.00969485,0.290503783,0.235040937,0.006737211,0.006490923,0.00941841,0.026047895,0.321485694,0.039656583,0.055972994,0.125824061,0,0.1466964,0.093001678,0.096266074,0.167355343,0.096266074,0.953761691,0.94732182,0.291411792,0.52487217,0.358752826,0.90998958,0.946212308,0.869736443,0.027308652,0.526346433,0.103264552,0.178358206,0.489054283,0.946834326,0.027471191,0.120645952,0.474384326,0.991481659,1.045722898,0.396430758,0.449763771,0.915777213,1,0.893376085,0.943692897,0.876286262,0.528075022,0,0.251733,0.088338089,0.24195867,0,0.24620703,0.842369263,0.564516,0.9956381,0.243365263,0.710770008,0.773826689,0.923867653,0.951039561,0.287728945,0.239984009,0.975803432,0.93794533,0.430523396,0.446570601,0.332401906,0.147143816,0.892223112,0.876782224,0.570963623,0.047371249,0,0.918,0.97727,0,0,1,0,0,0,0.029188129,0,0,0,0
1,13,0.6333,1,0,0.484908676,0.857753021,0.601406023,0.631612903,0.469858871,0.383418223,0.565445873,0.530940128,0.587057232,0.502750841,0.595411,0.151123,0.765289,0.763,0.922934889,0.7477804,0.7477804,0.922934889,0.87,0.485777058,0.476863707,0.764609036,0.829794508,0.42491818,0.178726992,0.410604331,0.196671491,0.185776194,0.740984365,0.143046425,0.050367693,0.022528327,0.119517841,0.430562406,0.147140684,0.45030591,0.287186969,0.439127529,0.369969771,0.204237334,0.493638568,0.173836033,0.139589117,0.076084229,0.105528498,0.179010366,0.37857975,0.37857975,0.408953472,0.289086971,0.016644867,0.282223528,0.235040937,0.00083871,0.006268133,0.015213687,0.078000796,0.18297558,0.098817942,0.006478032,0.027709346,1.62E-05,0.499789511,0.448656623,0.101356659,0.191713638,0.101356659,0.953183921,0.94732182,0.219809314,0.396399998,0.240793102,0.926096386,0.955581035,0.865039223,0.223177602,0.521049709,0.481799481,0.203317586,0.457970011,0.95206922,0.081586576,0.643615,0.44597414,0.997964401,1.058348192,0.373192226,0.415869542,0.928697415,1,0.895789745,0.960396252,0.89179652,0.601200878,1.41E-05,0.245593,0.093009439,0.23726145,0,0.24150981,0.842369263,0.564516,1,0.257444077,0.755074798,0.87887297,0.898292332,1.009118313,0.227981722,0.40128154,0.97897735,0.93794533,0.424106746,0.452700185,0.338632243,0.237810718,0.890418338,0.875008683,0.543044962,0.066066702,0,0.447,0.97228,0,0,1,0,0,0,0,0,0,0,0
1,14,0.6333,1,0,0.482588539,0.852518956,0.582984347,0.632365591,0.460685484,0.371760045,0.566820276,0.525291829,0.5746077,0.48109242,0.572081,0.173911,0.726647,0.763,0.914313977,0.737842018,0.737842018,0.914313977,0.87,0.78793938,0.780936719,0.763299584,0.838010547,0.448912688,0.252315001,0.384117636,0.164188906,0.222055891,0.739715372,0.159455741,0.052064944,0.058989826,0.168445497,0.417316683,0.138711226,0.375037211,0.281542839,0.428434857,0.38487305,0.353487374,0.39242232,0.329580733,0.148472352,0.163165993,0.155301741,0.172342801,0.412715063,0.412715063,0.416649752,0.314227478,0.037914259,0.272275641,0.242577429,0.068706679,0.083373698,0.047741914,0.087764229,0.139294825,0.161627905,0.004935171,0.062905044,0.161205001,0.810667838,0.741173393,0.234178407,0.180730666,0.234178407,0.951551519,0.956988369,0.183505247,0.370829577,0.275178906,0.931839176,0.940268961,0.861609469,0.60738208,0.52203831,0.873184883,0.227765422,0.444653309,0.945510771,0.171893745,0.873939993,0.411730706,0.99153378,1.061752295,0.364216052,0.381419719,0.91845199,1,0.88742239,0.966351738,0.897326614,0.625418707,0.140404356,0.276292,0.214892662,0.23383169,0,0.23808006,0.842369263,0.346774,1,0.270944457,0.776280509,0.906527618,0.907186589,0.980078937,0.195755755,0.579267103,0.981622282,0.93794533,0.383118679,0.441858653,0.339748305,0.320032683,0.89184316,0.876408847,0.517921192,0.106390395,0,0.326,0.98004,0,0,1,0,0,0,0,0,0,0,0
1,15,0.6333,1,0,0.482588539,0.846000952,0.569219418,0.627634409,0.458064516,0.370062252,0.555744199,0.525542864,0.557236212,0.453538492,0.578376,0.261737,0.728747,0.763,0.879001397,0.733971983,0.733971983,0.879001397,0.87,0.905727598,0.885190323,0.759414056,0.824582404,0.447120739,0.321541551,0.378871806,0.164340894,0.27345572,0.735949898,0.19130612,0.12129183,0.099889416,0.155633003,0.218952459,0.16283855,0.448034414,0.497616106,0.430996361,0.347240331,0.280591512,0.408478907,0.445294364,0.18052674,0.276024829,0.08723029,0.148494439,0.4724898,0.4724898,0.508068367,0.395142933,0.078992524,0.274591796,0.234598146,0.052367249,0.219378388,0.26744395,0.193050185,0.034801334,0.141283446,0.003748469,0.012429467,0.621622631,0.931853709,0.82513322,0.455827641,0.21216682,0.455827641,0.946707707,0.918322172,0.183675117,0.365765219,0.295484307,0.898585948,0.913020909,0.841014867,0.837151425,0.524236922,0.942628498,0.25748309,0.429878502,0.951732611,0.34495491,0.887784918,0.425937724,0.997839559,1.040049839,0.343073811,0.425647931,0.916949665,0.998428831,0.853148415,0.931866909,0.865304987,0.564265538,0.541413259,0.337691,0.41828799,0.21323709,0,0.21748546,0.842369263,0.25,1,0.29884059,0.821721319,0.872666191,0.89264998,0.885700966,0.22640727,0.581273991,0.972453185,0.93794533,0.436466865,0.414614856,0.346311008,0.377348681,0.886998767,0.871648292,0.485561861,0.165535903,0,0.578,0.98503,0,0,1,0,0,0,0,0,0,0,0
1,16,0.6333,1,0,0.482588539,0.814675369,0.563615384,0.623064516,0.461189516,0.48007923,0.561241814,0.511610393,0.555906348,0.431692064,0.574507,0.419408,0.707745,0.763,0.795610658,0.723469807,0.723469807,0.795610658,0.87,0.924587065,0.89966999,0.746410144,0.800686832,0.471278568,0.407100371,0.398005141,0.172469612,0.295572105,0.723347778,0.237629313,0.261793236,0.185134876,0.20727,0.388101832,0.282203828,0.443080101,0.467893111,0.4109544,0.336776937,0.220414713,0.405117169,0.446076697,0.232391873,0.340436904,0.205717318,0.351038162,0.357813017,0.357813017,0.406377777,0.412654679,0.201757066,0.264539682,0.239767058,0.226054611,0.452223687,0.374398281,0.141468401,0.366465429,0.158001136,0.014395834,0.01774453,0.801395017,0.951257186,0.830865487,0.490487899,0.367691118,0.490487899,0.930496652,0.927988721,0.192760155,0.38423666,0.306191624,0.823666159,0.865657896,0.791590822,0.901185505,0.519726771,0.948404659,0.291581482,0.442537815,0.95430962,0.53024457,0.884065402,0.435112489,0.9995577,1.014253951,0.371824216,0.418636559,0.898786473,0.915184621,0.772210344,0.854172313,0.793160005,0.547262522,0.697989208,0.399089,0.450093806,0.16381304,0,0.16806141,0.842369263,0.25,1,0.327707292,0.738413167,0.806515723,0.866781878,0.653385958,0.380816351,0.570339789,0.934895157,0.919322451,0.433283386,0.410311171,0.368956494,0.417648848,0.873890411,0.85876679,0.474141379,0.194552234,0,0.447,0.96425,0,0,1,0,0,0,0,0,0,0,0
1,17,0.6333,1,0,0.460160546,0.773746088,0.579073705,0.628602151,0.463508065,0.677928693,0.562050287,0.514371784,0.539269511,0.436364536,0.567577,0.52108,0.680444,0.763,0.687351904,0.707772539,0.707772539,0.687351904,0.84,0.921523798,0.893878123,0.722366173,0.759151156,0.521074594,0.481152364,0.402262886,0.171926425,0.322896019,0.70004671,0.275671406,0.342782376,0.252056376,0.209891966,0.15886123,0.324297054,0.302789166,0.250058462,0.463737752,0.350621619,0.239406604,0.378779679,0.449958382,0.24750591,0.409531606,0.268782066,0.402127194,0.353628792,0.353628792,0.346546988,0.306805638,0.409997175,0.273480042,0.232076946,0.512353833,0.593153185,0.507065366,0.16539502,0.254869081,0.189358982,0.039283321,0.036814894,0.831754756,0.948105558,0.814127702,0.448243692,0.422535538,0.448243692,0.900522735,0.898989074,0.192153063,0.388347114,0.309107043,0.690455606,0.78440213,0.706489493,0.918135702,0.49560457,0.951346803,0.389189667,0.466230153,0.937980707,0.658450986,0.917923353,0.458281036,0.978320796,0.949074903,0.387729214,0.439834147,0.896246012,0.767172895,0.667135671,0.716028036,0.664883176,0.56976013,0.724431562,0.423648,0.411328617,0.07871172,0,0.08296008,0.833311529,0.25,0.989153838,0.338142029,0.641851445,0.673428595,0.821817517,0.457370171,0.550707156,0.519374984,0.846201784,0.882238632,0.453111984,0.433966351,0.381744285,0.450958115,0.846153889,0.831510279,0.477094308,0.18606793,0,0.319,0.84063,0,0,1,0,0,0,0.014594065,0,0,0,0
